id,name,place,location,landmark,ratings,info,price,tag,accessibility,occupancy,description,reviews,lat,lng,tax
209,Riviera Sapphire Holiday Homes,Goa,Siolim,| 4-5 minutes walk from Candolim Beach,4.1,"['Gym', 'Swimming Pool']","₹4,104 per night",Like a 3 Star,Entire Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,44.4264,8.91519,
210,Fairfield by Marriott Goa Calangute,Goa,Calangute,| 2.7 km drive to Baga Beach,4.3,"['Bed in a Hostel', '| 2 Dorm Beds']","₹8,269 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedGet20%offon60to90-minutespatreatments,,15.5439,73.7553,
211,The Funky Monkey Hostel,Goa,Anjuna,| 2-3 minutes walk from Calangute Beach,4.2,"['Kitchenette', 'Living Room']","₹2,438 per night",null,Beds in a Hostel,| 2 Dorm Beds,"FreeCancellationBook@₹0availableHostelfeaturingacafe,indoorgames&freeWi-Fi",,15.5700084,73.7447139,
212,Hotel Goan Maharaja,Goa,Verna,Ends  in  18h:  04m:  08s,2.5,"['Room in an Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹1,897 per night",null,null,null,FreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
213,Tan N Sand,Goa,Ashwem Beach,| 2.2 km drive to Baga Beach,3.9,"['Reception', 'Housekeeping']","₹12,502 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
214,Fortune Miramar-Member ITC Hotel Group,Goa,Panjim,| 860 m drive to Calangute Beach,4.5,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹13,500 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
215,Ruffles Beach Resort,Goa,Candolim,Ends  in  02h:  59m:  21s,3.6,"['Housekeeping', 'Jacuzzi']","₹4,303 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5114344,73.7687588,
216,ROUNDCUBE BEACH BUNGLOWS PATNEM,Goa,Palolem,null,3.4,"['Spa', 'Swimming Pool']","₹5,504 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0available,,14.99929,74.03741,
217,Graciano Cottages,Goa,Colva,| 4-5 minutes walk from Candolim Beach,3.5,"['Spa', 'Jacuzzi']","₹4,085 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
218,BLUE JAY Homestay,Goa,Vagator,| About a minute walk to Anjuna Beach,4.7,"['Spa', 'Gym']","₹1,350 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,"BreakfastavailableatextrachargesRoomsinahomestayofferingabalcony,powerbackup,lawn&parking",,44.4264,8.91519,
219,Silver Sands Serenity,Goa,Candolim,null,3.4,"['Swimming Pool', 'Swimming Pool']","₹4,712 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableStylishpropertywithaninfinitypool&achicloungebar,,44.4264,8.91519,
220,"Hotel Aroma Executive Panaji -Stay in the Heart of the City,",Goa,Panjim,| About a minute walk to Ashwem Beach,3.9,"['Spa', 'Swimming Pool']","₹4,000 per night",null,null,null,Breakfastavailableatextracharges,,44.4264,8.91519,
221,Silver Sands Hideaway,Goa,Candolim,| About a minute walk to Miramar Beach,3.9,"['Restaurant', 'Room in a Beach Hut']","₹6,253 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
222,Calangute Towers - AM Hotel Kollection,Goa,Calangute,| 7 minutes walk to Candolim Beach,3.6,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹3,750 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesGuaranteed10%DiscountonF&Bservices,,44.4264,8.91519,
223,Eros Boutique Hotel,Goa,Baga,| 2.2 km drive to Palolem Beach,3.7,"['Housekeeping', 'Restaurant']","₹2,150 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
224,ArtBuzz Goa Morjim,Goa,Morjim,| 3 minutes walk to Colva Beach,4.9,"['24-hour Room Service', 'Swimming Pool']","₹2,211 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,15.63097,73.73903,
225,Kapila Beach Hotel and Resort,Goa,Palolem,null,4,"['Restaurant', '| 2 Dorm Beds']","₹2,848 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
226,"Lemon Tree Hotel,Candolim",Goa,Candolim,| 5 minutes walk to Candolim Beach,4.2,"['Kitchenette', 'Living Room']","₹11,179 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.51807,73.76259,
227,Kay's Calangute Resort | Service Apartments,Goa,Calangute Baga Road,| 2 minutes walk to Deltin Royale,4.3,"['Swimming Pool', 'Restaurant']","₹3,213 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncluded10%OffonAirportTransfer,,44.4264,8.91519,
228,Casa Baga,Goa,Baga,| 7 minutes walk to Candolim Beach,3.6,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹5,500 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.557429,73.7537389,
229,Hotel Baga Prime,Goa,Baga,| 4-5 minutes walk from Calangute Beach,3.9,"['Parking', '| 1 Bedroom | Sleeps 4 guests']","₹1,727 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
230,Sortby Stays Vagator,Goa,Vagator,| 7 minutes walk to Baga Beach,4.3,"['Caretaker', 'Housekeeping']","₹3,626 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,BreakfastIncluded,,15.59766,73.74496,
231,Eternal Wave By HappyInch,Goa,Calangute,| 9 minutes walk to Morjim Beach,4.2,"['Swimming Pool', 'Indoor Games']","₹6,000 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 6 guests,"CoupleFriendlyEntireapartmentunitsfeaturingapool,garden&restaurant",,44.4264,8.91519,
232,"Goa Villagio Resort & Spa - A Unit of IHM, Goa",Goa,Betalbatim,| About a minute walk to Palolem Beach,4.2,"['Entire Apartment', '| 2 Bedrooms | Sleeps 8 guests']","₹4,508 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,,,
233,Shalom Backpackers Anjuna Goa,Goa,Anjuna,| 6 minutes walk to Candolim Beach,3.7,"['Shared Swimming Pool', 'Reception']","₹2,874 per night",null,Room in a Hostel,| 1 Bedroom | Sleeps 2 guests,FreeCancellationBook@₹0available,,15.58005,73.74487,
234,Resort Palmeiras Dourado,Goa,Mormugao,| 8 minutes walk to Calangute Beach,4,"['Gym', 'Swimming Pool']","₹6,020 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
235,Qees Empire Beach Resort Beachfront,Goa,Calangute,| 2 minutes walk to Baga Beach,3.5,"['Gym', 'Swimming Pool']","₹2,987 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
236,Ashirwad Residency in Agonda,Goa,Agonda,| 1.8 km drive to Baga Beach,3.6,"['null', 'Gym']","₹2,590 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available,,15.05139,73.98435,
237,Tranquilo Arambol,Goa,Arambol,| 2.0 km drive to Vagator Beach,4.4,"['Indoor Games', 'Beds in a Hostel']",₹860 per night,null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyHostelfeaturingarestaurant&terracesit-outswithviews,,15.6900331,73.7166564,
238,Vacances Nordus Boutique Resort,Goa,Calangute,| 4-5 minutes walk from Calangute Beach,3.1,"['| 2 Dorm Beds', 'Kitchenette']","₹2,192 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
239,Swimup Suites with private pool in  Vagator,Goa,Vagator,Ends  in  02h:  59m:  27s,4.2,"['Bonfire', 'Swimming Pool']","₹8,038 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"BreakfastavailableatextrachargesBoutiquevillafeaturingapool,beachaccess&arestaurant",,15.59766,73.74496,
240,Sea Shell Beach Cottages | Rooms & Wi-Fi,Goa,Arambol,| 9 minutes walk to Betalbatim Beach,3.9,"['Spa', 'Room in a Homestay']","₹1,894 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges,,,,
241,Green View Morjim,Goa,Morjim,| 3-4 minutes walk from Anjuna Beach,4.5,"['| 1 Bedroom | Sleeps 4 guests', 'Shared Parking']","₹1,614 per night",null,null,null,CoupleFriendly,,15.63097,73.73903,
242,Hotel Baga Bay,Goa,Baga,| 2.5 km drive to Arossim Beach,3.8,"['Shared Terrace', 'Beds in a Hostel']","₹4,896 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
243,"La Station Resort, Vagator",Goa,Vagator,| 1-2 minutes walk from Calangute Beach,4.4,"['| 2 Dorm Beds', 'Swimming Pool']","₹1,958 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.59766,73.74496,
244,La Cabana Beach Resort & Spa,Goa,Ashwem Beach,| 1.5 km drive to Agonda Beach,4.4,"['Kitchenette', 'Gym']","₹11,543 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,12.5515077,-70.0541031,
245,Vinsons Cottages,Goa,Colva,| 2.6 km drive to Mandrem Beach,4.2,"['Swimming Pool', 'Room in an Apartment']","₹1,805 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
246,Zone Connect by The Park Parra Goa,Goa,Bardez,| 2-3 minutes walk from Calangute Beach,3.9,"['| 1 Bedroom | Sleeps 3 guests', 'Reception']","₹4,864 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.57961,73.7941,
247,Lemon Tree Amarante Beach Resort,Goa,Candolim,| 2.0 km drive to Vagator Beach,4,"['Housekeeping', 'null']","₹11,496 per night",null,null,null,CoupleFriendlyBreakfastIncludedEnjoy2complimentarypintsofbeer,,44.4264,8.91519,
248,Whoopers  Boutique Morjim Goa,Goa,Morjim,| 1.4 km drive to Mandrem Beach,4.7,"['Jacuzzi', 'Swimming Pool']","₹2,076 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,FreeCancellationBook@₹0available,,15.63097,73.73903,
249,Grand royal suites Benaulim,Goa,Benaulim,| 2.0 km drive to Morjim Beach,3.5,"['Room in a Villa', '| 1 Bedroom | Sleeps 12 guests']","₹1,697 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,,,15.27004,73.93461,
250,TreeHouse Blue Hotel & Serviced Apartments,Goa,Majorda,| 4 minutes walk to Baga Beach,4.5,"['Caretaker', 'Spa']","₹4,025 per night",Like a 4 Star,Room in an Apartment,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedServicedapartmentswithacafé,anoutdoorpool&playarea",,,,
251,Mykonos Blu,Goa,Baga,| 2.2 km drive to Vagator Beach,4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹5,838 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesNearthebeach,poolsidebar&aplushbathtub",,44.4264,8.91519,
252,"O Hotel Goa, Candolim Beach",Goa,Candolim,| About a minute walk to Ashwem Beach,3.9,"['Shared Swimming Pool', 'Pool/ Beach towels']","₹11,406 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
253,KARA CASA,Goa,Arpora,| 7 minutes walk to Colva Beach,4.7,"['Swimming Pool', 'Restaurant']","₹2,890 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 8 guests,CoupleFriendly,,44.4264,8.91519,
254,Larisa Resort Ashwem,Goa,North Goa,Ends  in  18h:  04m:  22s,4.3,"['Kids Play Area', 'Swimming Pool']","₹18,404 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesHappyHoursSpecial:1+1onIMFL10%DiscountonF&Bservices,,44.4264,8.91519,
255,Palm Paradise Anjuna,Goa,Anjuna,| 4 minutes walk to Candolim Beach,4.5,"['Restaurant', 'Swimming Pool']","₹1,867 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,15.58005,73.74487,
256,Royal Orchid Beach Resort & Spa,Goa,Utorda Beach,| 4 minutes walk to Morjim Beach,4.2,"['Gym', 'Room in a Cottage']","₹13,562 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges10%offonFood&Beverages,,,,
257,Olive Calangute Mira by Embassy Group,Goa,Calangute,| 2.1 km drive to Benaulim Beach,4,"['| 1 Bedroom | Sleeps 4 guests', 'Shared Swimming Pool']","₹3,234 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
258,Living Room Beach Resort,Goa,Morjim,| 2.4 km drive to Utorda Beach,3.6,"['Caretaker', '| 1 Bedroom | Sleeps 4 guests']","₹7,826 per night",Like a 4 Star,Room in a Cottage,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyBreakfastavailableatextrachargesPlushresortflauntingapool,bar,jacuzzi&beachaccess",,44.4264,8.91519,
259,Rio Boutique Hotel,Goa,Bardez,| 3-4 minutes walk from Baga Beach,4.1,"['Shared Swimming Pool', 'Caretaker']","₹3,146 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
260,Hotel Z Square ( Hotel Ashok Plaza),Goa,Panjim,| 4-5 minutes walk from Candolim Beach,3.7,"['Room in an Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹2,704 per night",null,null,null,CoupleFriendlyPayAtHotel,,44.4264,8.91519,
261,The Last Minute Trip,Goa,Morjim,| 2.0 km drive to Baga Beach,4.9,"['Shared Swimming Pool', 'Caretaker']","₹2,211 per night",Like a 3 Star,Room in a Hostel,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly,,44.4264,8.91519,
262,The Byke Old Anchor Beach Resort & Spa,Goa,Cavelossim,null,3.8,"['Swimming Pool', 'Restaurant']","₹1,828 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,,,
263,Andaz Arambol - Artist Party Hostel,Goa,Arambol,| 1.7 km drive to Anjuna Beach,3.8,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']",₹489 per night,null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
264,Planet Hollywood Beach Resort,Goa,Utorda Beach,Ends  in  02h:  59m:  38s,4.4,"['Reception', 'Caretaker']","₹11,994 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonsessionofSpa,,44.4264,8.91519,
265,Kalki Resort and Cottages Baga,Goa,Baga,| 3 minutes walk to Utorda Beach,3.3,"['null', 'Gym']","₹2,815 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.56517,73.75517,
266,AquaVista at Casa Philomena,Goa,Calangute Baga Road,| 2-3 minutes walk from Calangute Beach,4.2,"['Swimming Pool', 'Room in an Apartment']","₹4,151 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,,,44.4264,8.91519,
267,Candolim suites - A unit of pal hospitality,Goa,Calangute,| About a minute walk to Morjim Beach,3.8,"['| 1 Bedroom | Sleeps 4 guests', 'Reception']","₹3,815 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availablePayAtHotel,,44.4264,8.91519,
268,Durga Resort,Goa,Arambol Beach,null,4,"['Housekeeping', '| 1 Bedroom | Sleeps 4 guests']","₹1,318 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyRoomsinanapartmentwithalawn,freeparking&Wi-Fi",,44.4264,8.91519,
269,Marbela Beach Resort,Goa,Morjim,| 8 minutes walk to Deltin Royale,3.5,"['Private Swimming Pool', 'Private Kitchen']","₹7,511 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
270,Acron Waterfront Resort,Goa,Baga,| 3 minutes walk to Morjim Beach,3.8,"['Spa', 'Swimming Pool']","₹9,374 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesINR500discountonsessionofSpa,,44.4264,8.91519,
271,goSTOPS Goa Calangute,Goa,Calangute Baga Road,| About a minute walk to Cavelossim Beach,3.9,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,135 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,,,15.5439,73.7553,
272,Artistry Suites,Goa,Calangute,| 2.4 km drive to Mandrem Beach,4.8,"['Living Room', 'Restaurant']","₹10,222 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnF&BServices,,44.4264,8.91519,
273,HOTEL GOLDEN PLATEAU,Goa,Povorim,| About a minute walk to Utorda Beach,3.6,"['Bar', 'Jacuzzi']","₹4,844 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5200796,73.8280793,
274,Hotel Delta Residency,Goa,Calangute,| 4-5 minutes walk from Baga Beach,3.7,"['Spa', 'Swimming Pool']","₹1,898 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
275,Ocean Palms Goa,Goa,Calangute,| 9 minutes walk to Calangute Beach,4.3,"['Gym', 'Swimming Pool']","₹7,351 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoyavibrantdiningexperiencecomplementedbyliveperformanceslike–BellyDance,MagicShows,DJNights&AerialDanceatTerra(ChargedApply)20%offonsessionof60minsSpa",,15.5328804,73.7657478,
276,Marina Bay Beach Resort,Goa,Candolim,| 7 minutes walk to Candolim Beach,3.6,"['Restaurant', 'Room in a Cottage']","₹3,333 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
277,"Vivanta Goa, Panaji",Goa,Panjim,null,4.5,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹18,225 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableGetaTajGiftCardworthatleastINR500forF&B&Spa,,15.4939579,73.820275,
278,Jasminn Hotel- AM Hotel Kollection,Goa,Betalbatim,| About a minute walk to Morjim Beach,4.3,"['Housekeeping', 'Indoor Games']","₹6,841 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
279,Goan Fiesta Studios Calangute,Goa,Calangute,| 10 minutes walk to Baga Beach,4.3,"['Restaurant', '| 1 Bedroom | Sleeps 4 guests']","₹2,010 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyEntireapartmentofferingakitchen,caretaker&parking",,15.5439,73.7553,
280,Park Prime Goa,Goa,Panjim,| 5 minutes walk to Calangute Beach,3.7,"['Caretaker', 'Lawn']","₹5,150 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.40927,73.78869,
281,Estrela Do Mar Beach Resort - A Beach Property,Goa,Calangute,| 4-5 minutes walk from Calangute Beach,3.7,"['Swimming Pool', 'Gym']","₹5,294 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
282,Common Home Agonda Beach,Goa,Agonda,null,4.6,"['Restaurant', 'Bar']","₹3,482 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBeachfronthomestaywitharestaurant&stylishdecor,,44.4264,8.91519,
283,Crystal Bay Baga,Goa,Baga,| 3-4 minutes walk from Calangute Beach,3.4,"['Jacuzzi', 'Swimming Pool']","₹2,308 per night",null,null,null,CoupleFriendly,,15.56517,73.75517,
284,The Queeny,Goa,Mormugao,| 4-5 minutes walk from Calangute Beach,3,"['Swimming Pool', 'Gym']","₹1,498 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
285,Susegado Calangute,Goa,Calangute,| 8 minutes walk to Candolim Beach,5,"['null', 'Beds in a Hostel']","₹1,925 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,,,15.5439,73.7553,
286,Lazy Bee Cottages,Goa,Nagoa,| 1.5 km drive to Deltin Royale,4.2,"['| 2 Dorm Beds', 'Swimming Pool']","₹3,616 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
287,Villa Donna Luxury Apartment,Goa,Panjim,| 2.2 km drive to Betalbatim Beach,4.4,"['Caretaker', 'Swimming Pool']","₹8,185 per night",Like a 4 Star,Entire Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly,,44.4264,8.91519,
288,GoAround Homes | Portuguese Villa at Anjuna Beach,Goa,Anjuna,| 1.7 km drive to Calangute Beach,4.4,"['24-hour Room Service', 'Gym']","₹3,089 per night",null,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyVillasofferingakitchen,caretaker,terrace,garden&sit-outs",,44.4264,8.91519,
289,Atlanta Beach Resort,Goa,Calangute,| 10 minutes walk to Deltin Royale,3.3,"['Swimming Pool', 'Swimming Pool']","₹2,374 per night",null,null,null,Breakfastavailableatextracharges,,15.5366667,73.7639266,
290,Arya Cottages,Goa,Agonda,| 2 minutes walk to Calangute Beach,3.7,"['Water Sports', 'Swimming Pool']","₹3,044 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,15.0517202,73.982636,
291,DiVaN Clarks Inn (Calangute Beach),Goa,Calangute,| 3 minutes walk to Agonda Beach,3.5,"['Restaurant', 'Water Sports']","₹2,192 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%OffonF&Bservices,,44.4264,8.91519,
292,Goa Marriott Resort & Spa,Goa,Panjim,| 3 minutes walk to Baga Beach,4.4,"['Lounge', 'Room in an Apartment']","₹22,500 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastavailableatextrachargesAvail15%discountonspa,food&beverages",,15.4868443,73.8095296,
293,The Baga Beach Resort,Goa,Baga,| 9.7 km drive to Goa International Airport,4,"['| 1 Bedroom | Sleeps 3 guests', 'Reception']","₹7,001 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesComplimentaryHi-Tea,,15.5556243,73.752782,
294,The X & Z Goa,Goa,Calangute,| 2 minutes walk to Calangute Beach,3.9,"['Housekeeping', 'Entire Apartment']","₹2,694 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,42.0862057,-72.5578655,
295,Park Regis,Goa,Baga,null,3.6,"['| 2 Bedrooms | Sleeps 6 guests', 'Reception']","₹9,276 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5737606,73.7592056,
296,Laxmi Empire Hotel,Goa,Margao,| 4-5 minutes walk from Miramar Beach,4.3,"['Housekeeping', 'Gym']","₹10,833 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
297,Cozy Apartments in Monarch Palms | Rooms & Pool,Goa,Candolim,| 4 minutes walk to Anjuna Beach,4.2,"['Swimming Pool', 'Room in a Hostel']","₹8,426 per night",Like a 4 Star,Room in an Apartment,| 1 Bedroom | Sleeps 10 guests,"CoupleFriendlyRoomsinanapartmentwithakitchen,Wi-Fi&parking",,,,
298,Agonda Beach Chalets,Goa,Agonda,| 9 minutes walk to Calangute Beach,4.1,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹5,369 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"Beachfrontresortfeaturingarestaurant,parking&seaviews",,44.4264,8.91519,
299,Obrigado Beach Cottages | Room & Pool,Goa,Arambol,| 3 minutes walk to Agonda Beach,3.9,"['Kitchenette', 'Swimming Pool']","₹3,262 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges,,,,
300,Coco Homes by MyRoom,Goa,Candolim,| 10 minutes walk to Calangute Beach,3.6,"['Restaurant', 'Swimming Pool']","₹3,039 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
301,Gokulam Park,Munnar,Chithirapuram ,city centre,4.1,,"2,728",,,,,1058,10.08873,77.06269,574
302,Sterling Munnar,Munnar,Chinnakanal ,city centre,3.8,,"4,451",,,,,1088,10.08873,77.06269,969
303,Issacs Residency,Munnar,Central Munnar ,Attukal Waterfalls,4.1,,"2,758",,,,,322,10.08873,77.06269,684
304,Tea Valley Resort,Munnar,Pallivasal ,city centre,4.3,,"2,675",,,,,1337,10.0527711,77.0654755,756
305,Grand Plaza,Munnar,Moolakadai ,Attukal Waterfalls,4.3,,"3,203",,,,,1058,10.0740584,77.063995,654
306,Misty Mountain Resort,Munnar,Pallivasal ,city centre,4.2,,"3,145",,,,,1934,10.08873,77.06269,848
307,Eastend Munnar,Munnar,Central Munnar ,Attukal Waterfalls,3.9,,"3,493",,,,,437,10.0872861,77.0618579,713
308,Seven Springs Plantation Resort,Munnar,Laxmi Estate ,city centre,3.7,,"2,255",,,,,6,10.08873,77.06269,554
309,Clouds Valley Leisure Hotel,Munnar,Near Munnar Bus Stand ,Attukal Waterfalls,4,,"2,595",,,,,599,10.08873,77.06269,530
310,Broad Bean Resort & Spa,Munnar,Muthirapuzhayar Road ,city centre,4.1,,"5,583",,,,,249,10.021094,77.0542091,"1,141"
311,KTDC Tea County,Munnar,Central Munnar ,Attukal Waterfalls,4.4,,"5,022",,,,,851,10.08873,77.06269,"1,026"
312,Parakkat Nature Resorts,Munnar,Pallivasal ,city centre,4.3,,"9,977",,,,,1310,10.08873,77.06269,"2,682"
313,"Chithirapuram Palace | Rooms & Restaurant
Like a 3",Munnar,Chithirapuram ,city centre,4.5,,"2,494",,,,,96,,,634
314,Devonshire Greens - The Leisure Hotel & Spa,Munnar,Pallivasal ,city centre,3.9,,"4,815",,,,,431,,,"1,177"
315,Sn Holiday Home,Munnar,Anachal ,city centre,4.2,,966,,,,,369,10.08873,77.06269,229
316,Vibe Munnar,Munnar,Ettycity Road ,city centre,4.6,,"7,905",,,,,136,10.08873,77.06269,"2,380"
317,Landy Queen Homestay | Rooms & Caretaker,Munnar,Central Munnar ,Attukal Waterfalls,4.5,,"1,279",,,,,188,,,269
318,juSTa Rangers Munnar,Munnar,Adimali ,city centre,4.2,,"3,481",,,,,188,10.08873,77.06269,946
319,The Panoramic Getaway,Munnar,Chithirapuram ,city centre,4.6,,"11,974",,,,,939,10.08873,77.06269,"4,617"
320,Hotel Hillview,Munnar,Moolakadai ,Attukal Waterfalls,3.9,,"2,820",,,,,501,10.08873,77.06269,693
321,Tea Castle,Munnar,Chithirapuram ,city centre,3.8,,"1,791",,,,,157,10.08873,77.06269,366
322,"Tulsi Village Retreat | Treehouse & Cabin Stays
Like a 3",Munnar,Adimali ,city centre,3.9,,"1,545",,,,,352,,,346
323,Elixir Hills Suites Resort & Spa,Munnar,Laxmi Estate ,city centre,4.2,,"7,784",,,,,986,,,"2,092"
324,Bellmount Resorts,Munnar,Central Munnar ,Attukal Waterfalls,3.9,,"2,364",,,,,1204,10.08873,77.06269,586
325,Amber Dale Luxury Hotel and Spa,Munnar,Pallivasal ,city centre,4.4,,"5,661",,,,,1047,10.08873,77.06269,"1,216"
